# markers <capture>
# exit: 0
--- stdout ---
#9467   PushMarker       FRDGBuilder::Execute
#9652   PushMarker       MI_fx_Bubble NS_fx_Bubble 20 instances
#9655   PushMarker       MI_HappyLand_Prop_Balloon_C_01 SM_HappyLand_MusicBalloon_PropMerge
#9657   PushMarker       ClearGPUMessageBuffer
#9745   PushMarker       MI_HappyLand_Island_Tree_Banana_02 SM_HappyLand_Island_Tree_Banana_02
#9750   PushMarker       VirtualTextureClear
#9751   PushMarker       /Game/Arts_Mobile/FX/Material/M_fx_Petal_ygw_05.M_fx_Petal_ygw_05 NS_fx_Scene_Petal 22 instances
#9761   PushMarker       MI_HappyLand_Island_Common_Grass_01_vista SM_HappyLand_Island_Common_Grass_01
#9772   PushMarker       MI_HappyLand_Island_Tree_NewBanian_03 SM_HappyLand_Island_Tree_NewBanian_03
#9783   PushMarker       MI_HappyLand_Island_Tree_PalmTrunk_01 SM_HappyLand_lsland_Tree_Coconuttree_10
#9798   PushMarker       MI_HappyLand_Island_Tree_NewBanian_03 SM_HappyLand_Island_Tree_NewBanian_03
#9808   PushMarker       ShaderPrint::UploadParameters
#9811   PushMarker       MI_HappyLand_Island_Tree_PalmTrunk_01 SM_HappyLand_lsland_Tree_Coconuttree_10
#9821   PushMarker       MI_HappyLand_Island_Tree_NewBanian_03 SM_HappyLand_Island_Tree_NewBanian_06
#9823   PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SK_IslandNPC_004a
#9838   PushMarker       MI_HappyLand_Island_Tree_PalmTrunk_01 SM_HappyLand_lsland_Tree_Coconuttree_05
#9843   PushMarker       Scene
#9848   PushMarker       Niagara::GPUProfiler_BeginFrame
#9849   PushMarker       MI_HappyLand_Island_Tree_PalmTrunk_01 SM_HappyLand_lsland_Tree_Coconuttree_05
#9860   PushMarker       MI_HappyLand_Island_Tree_NewBanian_03 SM_HappyLand_Island_Tree_NewBanian_03
#9870   PushMarker       MI_HappyLand_Island_Tree_PalmTrunk_01 SM_HappyLand_lsland_Tree_Coconuttree_10
#9872   PushMarker       AccessModePass[Graphics] (Textures: 0, Buffers: 1)
#9888   PushMarker       MI_HappyLand_Island_Tree_Banana_02 SM_HappyLand_Island_Tree_Banana_03
#9899   PushMarker       MI_HappyLand_Island_Tree_PalmTrunk_01 SM_HappyLand_lsland_Tree_Coconuttree_06
#9909   PushMarker       MI_HappyLand_Island_Tree_Banana_02 SM_HappyLand_Island_Tree_Banana_02
#9921   PushMarker       MI_HappyLand_Island_Tree_NewBanian_04 SM_HappyLand_Island_Tree_NewBanian_04
#9933   PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Building_StreetRoad_test_07
#9949   PushMarker       Scene
#9951   PushMarker       AccessModePass[AsyncCompute] (Textures: 0, Buffers: 1)
#9956   PushMarker       MI_HappyLand_Island_Tree_Cordyline_01_Opaque SM_HappyLand_Island_Tree_Cordyline_01
#9961   PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_RockA_S_01
#9972   PushMarker       MI_HappyLand_Island_Common_Grass_01_vista1 SM_HappyLand_Island_Common_Grass_01
#9973   PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08 2 instances
#9982   PushMarker       MI_HappyLand_Island_Tree_Cordyline_01 SM_HappyLand_Island_Tree_Cordyline_01
#9985   PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Prop_guardrail_01
